,,,,,
TITLE,GLUCOSA 5,,,,
DATA TYPE,INFRARED SPECTRUM,,,,
ORIGIN,JASCO,,,,
OWNER,,,,,
DATE,19/02/15,,,,
TIME,16:01:16,,,,
SPECTROMETER/DATA SYSTEM,,,,,
LOCALE,1033,,,,
RESOLUTION,,,,,
DELTAX,0.964233,,,,
XUNITS,1/CM,,,,
YUNITS,ABSORBANCE,,,,
FIRSTX,399.1927,,,,
LASTX,4000.6047,,,,
NPOINTS,3736,,,,
FIRSTY,-0.00239,,,,
MAXY,1.11787,,,,
MINY,-0.00239,,,,
XYDATA,,,,,
1156.1160,0.120828,,,,
1157.0802,0.116147,,,,
1158.0444,0.111265,,,,
1159.0087,0.106223,,,,
1159.9729,0.101058,,,,
1160.9371,0.0958089,,,,
1161.9014,0.0905156,,,,
1162.8656,0.0852212,,,,
1163.8298,0.0799745,,,,
1164.7941,0.074829,,,,
1165.7583,0.0698391,,,,
1166.7225,0.0650593,,,,
1167.6868,0.0605439,,,,
1168.6510,0.056347,,,,
1169.6152,0.052518,,,,
1170.5795,0.0490948,,,,
1171.5437,0.0460963,,,,
1172.5079,0.0435224,,,,
1173.4722,0.0413602,,,,
1174.4364,0.0395949,,,,
1175.4006,0.0382168,,,,
1176.3649,0.0372227,,,,
1177.3291,0.0366107,,,,
1178.2933,0.0363758,,,,
1179.2576,0.0365098,,,,
1180.2218,0.0370054,,,,
1181.1860,0.0378609,,,,
1182.1503,0.0390789,,,,
1183.1145,0.0406601,,,,
1184.0787,0.0425937,,,,
1185.0430,0.0448517,,,,
1186.0072,0.04739,,,,
1186.9714,0.050155,,,,
1187.9357,0.0530906,,,,
1188.8999,0.0561413,,,,
1189.8641,0.0592504,,,,
1190.8284,0.0623557,,,,
1191.7926,0.0653891,,,,
1192.7568,0.0682801,,,,
1193.7211,0.0709614,,,,
1194.6853,0.0733718,,,,
1195.6495,0.0754565,,,,
1196.6138,0.077168,,,,
1197.5780,0.0784737,,,,
1198.5422,0.0793661,,,,
1199.5065,0.0799335,,,,
1200.4707,0.0800923,,,,
1201.4349,0.0799769,,,,
1202.3992,0.079646,,,,
1203.3634,0.0791485,,,,
1204.3276,0.0785339,,,,
1205.2919,0.0778695,,,,
1206.2561,0.0772484,,,,
1207.2203,0.0767795,,,,
1208.1846,0.0765624,,,,
1209.1488,0.0766634,,,,
1210.1130,0.0771049,,,,
1211.0773,0.0778739,,,,
1212.0415,0.0789401,,,,
1213.0057,0.0802728,,,,
1213.9700,0.0818473,,,,
1214.9342,0.0836402,,,,
1215.8984,0.0856208,,,,
1216.8627,0.0877469,,,,
1217.8269,0.0899662,,,,
1218.7911,0.0922229,,,,
1219.7554,0.0944643,,,,
1220.7196,0.0966438,,,,
